product_id,title,product_description,rating,ratings_count,initial_price,discount,currency,delivery_options,product_details,seller_name,category,total_amount_to_be_paid
21735014,Birkenstock,Women Madrid Big Buckle Narrow Width Nubuck Leather Open Toe Flats,4.8,5,9490,56.0,INR,"[""100% Original Products"",""Pay on delivery is not available"",""Easy 7 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Product Story:The BIRKENSTOCK Madrid is a veritable classic that delights the world of fashion with its minimalist design.The Big Buckle version features a large, elegant pin buckle a fantastic, striking eye-catcher on this otherwise understated sandal.The upper is made from high-quality nubuck leather that boasts a natural, rustic appearance.Product design details:A pair of open toe flats,has regular stylingAnatomically shaped cork-latex footbedUpper: nubuck leatherFootbed lining: suedeSole: EVADetails: one strap with an individually adjustable metal pin buckleMade in GermanyFeatures:Large, elegant pin buckleHigh-quality nubuck leatherAnatomically shaped cork-latex footbed"",""material_and_care"":""Nubuck Leather. Use a branded Leather conditioner to clean the product. ""}",Net███str███tio█████████s P█████████,flats,4175.599999999999
21928414,Clarks,Open Toe T-Strap Flats,4.0,11,3499,56.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of olive green & white t-strap flats,open toe flats,has regular ankle and open backSynthetic solid upper Cushioned footbedTextured and patterned outsoleWarranty: 15 daysWarranty provided by brand/manufacturer"",""material_and_care"":""Synthetic. Wipe with a clean and dry cloth to remove dust""}",CLA███ RE███NCE█████████ PV██████,flats,1539.5599999999997
21866528,SAPATOS,Women Solid Open Toe Flats,0.0,0,999,40.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of black open toe flatsUpper Material: syntheticCushioned footbedTextured and patterned outsoleWarranty: 7 daysWarranty provided by brand owner/manufacturer"",""material_and_care"":""Synthetic. Wipe with a clean and dry cloth to remove dust""}",TRE███ FA███ON,flats,599.4
18638536,CODE by Lifestyle,Women White Embellished Mules Flats,4.0,20,1499,50.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of white mules  Upper Material: synthetic  Cushioned footbed  Textured and patterned outsole "",""material_and_care"":""Material :Synthetic. Wipe with a clean or dry cloth to remove dirt or dust. ""}",Unknown seller,flats,749.5
13596626,Anouk,Women Gold-Toned & Beige Embellished One Toe Flats,4.3,44,2299,56.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of gold-toned and beige embellished one toe flats, has regular styling, no backstarp detailUpper Material: syntheticCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provide by Brand Owner/Manufacturer"",""material_and_care"":""Upper material: Synthetic. Sole Material: TPR. Wipe with a clean, dry cloth to remove the dust""}",Unknown seller,flats,1011.56
13533588,Padvesh,Women Pink Textured Ballerinas,3.9,30,899,45.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""detailSynthetic upperCushioned footbedTextured and patterned outsole"",""material_and_care"":""Synthetic. Wipe with a clean, dry cloth to remove dust""}",Unknown seller,flats,494.45
22413952,Styli,Women Embellished Open Toe Flats,0.0,0,1599,51.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 7 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of white & gold open toe flats Pu upperCushioned footbedPatterned rubber outsole"",""material_and_care"":""Upper material: PU. Outsole material: Rubber. Wipe with a clean, dry cloth to remove dust""}",PRE███RE ███AIL█████████PRI███████████████,flats,783.51
21205620,Tommy Hilfiger,Women Printed Thong Flip-Flops,4.3,8,2599,30.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of off white printed thong flip-flops  Plastic upper  Cushioned footbed  Patterned eva outsole "",""material_and_care"":""Plastic. Wipe with a clean dry cloth""}",PVH███VIN███ASH█████████TE ███████████████,flip-flops,1819.3000000000002
21497394,Puma,Unisex Mia V2 Printed Thong Flip-Flops,4.1,52,999,50.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""Features:A pair of beige and green printed thong flip-flopsSynthetic upperCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand owner/manufacturer"",""material_and_care"":""Synthetic. Wipe with a clean dry cloth to remove dust""}",Omn███ch ███ail███,flip-flops,499.5
18489598,Campus,Men Black & Red Striped Rubber Thong Flip-Flops,3.1,9,449,20.0,INR,"[""100% Original Products"",""Pay on delivery might be available"",""Easy 14 days returns and exchanges"",""Try & Buy might be available""]","{""description"":""A pair of black and red striped thong flip-flops  Rubber upper  Cushioned footbed  Patterned eva outsole  Warranty: 1 month  Warranty provided by brand owner/manufacturer"",""material_and_care"":""Wipe with a clean, dry cloth to remove the dust"",""size_and_fit"":"",""}",CAM███ AC███EWE█████████D,flip-flops,359.2
